name,success,total_energy_kjmol,basis_set,functional,solvent_model,solvent_name,multiplicity,charge,elec_sites,MAA Values [kJ/mol]
a6fd6d357d29f5c28305e973c1bda7b9,True,-4854755.410221376,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,1,116.5341155398637
e51432d6d3f150038a006fd3a77fed7c,True,-3126167.377469434,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,19,47.181545701343566
f336602f32fb2765492ea74f384d9b7f,True,-2927409.586826452,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,8,97.57837657164782
977064c5ffcf0d16dadc2af110b0f905,True,-2619508.855526288,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,16,110.9599227597937
32ce00fac62aee830395616a4a2bffb2,True,-3727386.4535964825,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,12,36.26198817463592
174197e72de19bbc198c39f066b16d62,True,-4573230.873054372,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,25,87.53744245879352
8daa9558d517a636504e7651bfaacebe,True,-2762263.936794664,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,21,-19.625523587688804
fa76e59cc2cc6ee29ac27cd5029abf86,True,-2739291.816802446,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,8,76.18003037758172
6548a521999a8dec6c45648121e5799a,True,-3119940.21219262,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,22,36.9704792201519
36796721a7354d2741315cbbd13024e0,True,-2155675.2726069666,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,4,66.40007616905496
41b3b368220a050f349e20b74e1ae226,True,-2176680.354855309,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,2,45.40737490169704
cac3f513ddd25c931aa32d5f01d11425,True,-3559679.1330354027,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,11,-76.28456464223564
9a8ff7fecd3b5c1acbdc4a1c4cd6d662,True,-3356809.9774397896,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,22,57.998183646705
1ebbf140f6c72479129dea30530c57ff,True,-2802004.468476396,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,21,-41.740998721681535
3ef25e20a3444f1b05bd18830ba53d2a,True,-1587329.3949795263,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,5,104.68731822539121
a11137e866fd7d63785e7f06635823b1,True,-3143801.3275302853,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,11,127.16011596657336
d09e66eac21a777ba0ff053272550715,True,-2564093.8469016016,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,5,190.54047779971734
